,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
23863,32957,-9.01118794059181,4.84153339032531,-7.05769235871599,1.4004101329025,-5.68552321470423,-1.51119129336408,-3.3935026939352,5.8394678810129,-0.0846143482168128,0.912465575177597,-2.0515478722394,1.51054788279863,-1.03675826867544,4.49894953408074,0.960908636884673,0.856551613201646,2.56919969602983,-0.143880803583165,-0.614551993327508,-0.120084875237595,0.253366196559128,-0.0853001803565061,-0.21125301278172,0.411168482354909,-0.146128192840724,-0.369248448789661,0.152132915845073,-0.0593927088576276,89.99,0.0
43624,41582,-1.04800528916284,1.30021877705413,-0.180400575706546,2.58984264330545,-1.1647935523262,0.0318234062644092,-2.17577809872951,0.699071737631603,-1.14020827768059,-3.22678710680364,3.49080495043995,-2.45433920979968,0.177189485247745,-5.16060809721957,-0.686114234287445,-3.99614471325468,-4.69556272249452,-1.81916096350279,1.46108031890323,0.644993308471186,0.549014458224783,0.624321410729297,-0.136662719519743,0.131737918713915,0.0309213718346795,-0.176701082429858,0.504897671691263,0.0698824528615783,39.45,1.0
15451,26833,-20.5327510764355,12.3739891389716,-23.0090029136283,6.14482097803751,-15.5872960035928,-4.38449066917613,-15.9390026942523,13.696416119399,-3.94845491908543,-8.78972336330438,5.61234710799626,-7.91442236630349,0.307819968365149,-8.32860088836825,-0.0069792945896379,-6.82452417207669,-13.3160791903173,-4.9216120866876,1.18820420779718,1.59275393136331,1.75460760918813,-1.46611525253641,-0.85677863566488,0.125776576475404,1.40258698975375,-0.223754856770293,1.57424873519633,0.469200693158523,99.99,1.0
41344,40642,0.754914899809971,-1.76040271364571,0.884246156584765,-0.294639712398651,-1.66063947828,0.538208648997741,-0.981223054724967,0.291693283309868,-0.0972849088962321,0.397919520548529,1.04533278593299,0.329574950230071,-0.417855536478728,-0.55050783755813,-1.05149248330486,0.696097739759734,0.750006445933285,-1.39340880318414,0.766084576328827,0.528015832425167,0.23354095534056,0.240873785150803,-0.199888200758795,0.0494547010315868,0.171577932038186,-0.257883434801869,0.0151790995356199,0.055785080751574,268.6,0.0
73475,55151,-1.93338286808795,-1.45694293326025,2.51003587296397,-1.44430694113323,0.216649103474464,-1.29781106644704,-1.13883893082012,0.174310860508269,-1.07710242090951,0.266355796491935,1.31733706955163,-0.269488457224514,-0.184146104540056,-0.341931217137776,-0.0572126208454046,1.79949803667016,-0.329546294137888,-0.31035619380975,-0.0203445306612823,0.0251412465675625,0.483315452132227,1.14764101671316,-0.385061454347402,0.587005619567312,0.379512481692013,-0.168073635849422,-0.003091836115169,0.129104892582423,49.99,0.0
71632,54372,-0.769747001433924,0.184702140182273,0.569973232924465,1.40390692034187,-0.498274027196853,0.312118612970463,2.225670985825,-0.329065201506592,-0.958060026604805,-0.54096621303439,-0.965158752621766,0.383912197527315,1.33747592361369,-0.0221007861194831,0.198073697436972,-0.705246128143577,-0.0335687495422964,0.012157224730709,1.0753863947774,0.918209408990653,0.284052216074459,0.415402719934131,0.541805740797824,-0.0989279450952305,0.231975545639447,-0.183710545308318,0.0428425938275689,0.17095378773813,374.0,0.0
11013,18982,-0.378749546991056,1.1394598582303,2.07335362066487,1.45393551237734,0.0985085086220924,-0.417945399953282,0.43839407482397,-0.0637448021196599,0.490829372042571,-0.570662785464705,1.27614147766747,-2.15985214568613,1.88571642154327,1.73850550855837,0.710550070250227,-0.699558171661095,1.07062429795737,-0.521332070697071,0.0742896130567258,-0.0150012384802665,-0.287214429386033,-0.562374417807857,0.166196878114995,0.508219913900342,-0.698665516196509,-0.683317190282094,0.162879287485115,0.157119014853796,1.0,0.0
34425,37660,-0.360331534869372,0.889470541808999,0.929195964746917,-0.4002655351143,0.707320313898109,0.353780146255317,0.540068188326126,0.214688956321882,-0.161156790226884,-0.327930780890833,-1.59047864215345,-0.928397022373924,-0.686434059447047,0.27436287308725,1.30581836599824,0.358675400866801,-0.569764935601423,-0.228450672626395,0.188821320412905,0.0534878531434163,-0.302299340737452,-0.815277499341288,-0.150376729325565,-1.37355160319454,-0.111407203268691,0.190815549011893,0.273240321414568,0.101468925881762,4.49,0.0
70140,53727,1.14756437355344,0.193031337167211,0.61309508128987,1.05386544923437,-0.541367948861356,-0.700965378636287,-0.0468943309496073,0.021446298604847,-0.0647228819220959,0.174550704357695,1.37624204251261,0.446782407539825,-1.16632089063745,0.767504091797115,0.445967593442992,0.420718889374014,-0.59624530025218,0.229371916406474,-0.0719789280189668,-0.180932986599435,-0.17049073241448,-0.616564925777258,0.118341809195825,0.46864979603728,0.270319092480337,-0.658649980248662,0.0114925473314096,0.0214819617144935,15.73,0.0
44677,42043,1.45303371878757,-0.799020563120705,0.141396390249326,-1.00130884060876,-0.661687696727296,0.367025261793145,-1.09675437870551,0.223278075702457,-0.13426205396331,0.640274911668085,-1.6731236707643,-2.09821487509139,-1.56850205775987,0.0134607336850221,1.57519645222606,1.56804604251065,0.0058587362153519,-0.773677156326029,0.504897670282887,-0.0456644176296332,0.209427686377201,0.503119671856965,-0.19547039909184,-1.33761503019221,0.496628785699003,0.0187744670086178,0.0280019571251375,-0.0005326399402555,6.0,0.0
